Player,Player Rating,Player Nationality,Player Side,Player Result,Player First Move,Opponent,Opponent Rating,Opponent Nationality,Opponent Side,Opponent Result,Opponent First Move,Variation,Termination,Moves,Date
Dontmesswithme_2,918,United States of America,White,Win,e4,mimameidr,729,United States of America,Black,Timeout,c5,Defense Smith Morra Gambit,Dontmesswithme_2 won on time,38.0,2013.08.21
Dontmesswithme_2,880,United States of America,Black,Timeout,c5,darkokosovic,966,Bosnia and Herzegovina,White,Win,e4,Defense 2.d3,darkokosovic won on time,34.0,2013.08.22
Dontmesswithme_2,924,United States of America,White,Win,e4,hannibbal,926,Portugal,Black,Checkmated,a6,Pawn Opening St George Defense 2.d4 b5,Dontmesswithme_2 won by checkmate,29.0,2013.08.22
Dontmesswithme_2,889,United States of America,Black,Timeout,e5,hannibbal,934,Portugal,White,Win,h3,Opening 1...e5 2.h3,hannibbal won on time,29.0,2013.08.22
Dontmesswithme_2,869,United States of America,Black,Resigned,d5,Valdir2013,1048,Brazil,White,Win,Nc3,Defense Closed,Valdir2013 won by resignation,49.0,2013.08.23
Dontmesswithme_2,1021,United States of America,White,Win,e4,bodlerthetoddler,953,United States of America,Black,Resigned,e5,Defense Classical Damiano Variation 4.Qe2,Dontmesswithme_2 won by resignation,6.0,2013.08.24
Dontmesswithme_2,954,United States of America,Black,Resigned,c5,marcus1140,976,United States of America,White,Win,e4,Defense,marcus1140 won by resignation,42.0,2013.08.24
Dontmesswithme_2,916,United States of America,Black,Resigned,c5,mbadds,1074,United States of America,White,Win,b3,Larsen Attack English Variation,mbadds won by resignation,55.0,2013.08.27
Dontmesswithme_2,978,United States of America,Black,Win,d5,elvisnboris,1025,United States of America,White,Checkmated,d4,Pawn Opening Zukertort Chigorin Variation,Dontmesswithme_2 won by checkmate,35.0,2013.08.28
Dontmesswithme_2,954,United States of America,White,Resigned,e4,Garyk1234,1160,Canada,Black,Win,b6,Pawn Opening Owen Defense 2.d4,Garyk1234 won by resignation,15.0,2013.08.29
Dontmesswithme_2,1045,United States of America,Black,Timeout,c5,LauCiCung,1263,Indonesia,White,Win,e4,Defense 2.Nf3 d6,LauCiCung won on time,6.0,2013.08.30
Dontmesswithme_2,1045,United States of America,Black,Timeout,c5,POGO_ZOMBIES,971,United States of America,White,Win,e4,Defense Bowdler Attack,POGO_ZOMBIES won on time,3.0,2013.08.30
Dontmesswithme_2,1157,United States of America,White,Win,e4,christophe36,959,France,Black,Resigned,Nf6,Defense,Dontmesswithme_2 won by resignation,1.0,2013.08.31
Dontmesswithme_2,927,United States of America,Black,Checkmated,c5,no_mom_no_talk,1098,Malaysia,White,Win,e4,Defense Pin Variation,no_mom_no_talk won by checkmate,27.0,2013.08.31
Dontmesswithme_2,896,United States of America,White,Abandoned,e4,Marking1,986,England,Black,Win,e5,Pawn Opening Kings Knight Damiano Defense,Marking1 won - game abandoned,9.0,2013.08.31
Dontmesswithme_2,867,United States of America,White,Checkmated,e4,Smartasias,957,United States of America,Black,Win,e5,Game,Smartasias won by checkmate,20.0,2013.09.07
Dontmesswithme_2,849,United States of America,Black,Resigned,c5,ousmaned,1047,United States of America,White,Win,e4,Defense Bowdler Attack,ousmaned won by resignation,23.0,2013.09.09
Dontmesswithme_2,881,United States of America,White,Win,e4,AnuraagAwesomeness,853,United States of America,Black,Resigned,e5,Knights Game,Dontmesswithme_2 won by resignation,23.0,2013.09.15
Dontmesswithme_2,903,United States of America,White,Win,e4,ssgriffin,795,United States of America,Black,Resigned,e5,Opening,Dontmesswithme_2 won by resignation,7.0,2013.09.18
Dontmesswithme_2,923,United States of America,White,Win,e4,vivek9911,803,India,Black,Resigned,e5,Pawn Opening Kings Knight Damiano Defense,Dontmesswithme_2 won by resignation,24.0,2013.09.21
Dontmesswithme_2,898,United States of America,Black,Resigned,e5,danielin81,982,Spain,White,Win,g3,Fianchetto Opening 1...e5,danielin81 won by resignation,17.0,2013.11.03
Dontmesswithme_2,869,United States of America,Black,Checkmated,e5,Ahsan0Malik,868,Pakistan,White,Win,e4,Pawn Opening Wayward Queen Attack,Ahsan0Malik won by checkmate,63.0,2013.11.03
Dontmesswithme_2,900,United States of America,White,Win,e4,Wfo68,949,United States of America,Black,Checkmated,e5,Lopez Opening Berlin Defense,Dontmesswithme_2 won by checkmate,24.0,2013.11.03
Dontmesswithme_2,926,United States of America,Black,Win,e5,marina-linckova,928,Russian Federation,White,Resigned,e4,Piano Game Giuoco Pianissimo Variation,Dontmesswithme_2 won by resignation,23.0,2013.11.03
Dontmesswithme_2,920,United States of America,Black,Draw agreed,e6,xanex,817,United States of America,White,Draw agreed,d4,Defense Normal Variation,Game drawn by agreement,38.0,2013.11.03
Dontmesswithme_2,942,United States of America,White,Win,e4,YashmitChessmaster,928,India,Black,Resigned,e5,Opening Berlin Defense,Dontmesswithme_2 won by resignation,5.0,2013.11.03
Dontmesswithme_2,974,United States of America,White,Win,e4,goclay343,1025,United States of America,Black,Resigned,e5,Game Hungarian Defense,Dontmesswithme_2 won by resignation,15.0,2013.12.26
Dontmesswithme_2,949,United States of America,Black,Resigned,e5,andrecatuaba,972,Brazil,White,Win,e4,Defense,andrecatuaba won by resignation,5.0,2013.12.26
Dontmesswithme_2,928,United States of America,White,Win,e4,Rudyant,1050,Indonesia,Black,Resigned,e5,Game Anti Fried Liver Defense,Dontmesswithme_2 won by resignation,27.0,2013.12.26
Dontmesswithme_2,942,United States of America,White,Win,e4,Learnist,655,United States of America,Black,Checkmated,d5,Defense Mieses Kotrc Variation 3.Nc3 Qd8,Dontmesswithme_2 won by checkmate,14.0,2013.12.26
Dontmesswithme_2,905,United States of America,Black,Timeout,d5,mrbn,924,Netherlands,White,Win,Nf3,Indian Attack French Variation,mrbn won on time,38.0,2013.12.26
Dontmesswithme_2,889,United States of America,Black,Checkmated,e5,juan_juan,1111,Argentina,White,Win,e4,Game Blackburne Shilling Gambit,juan_juan won by checkmate,20.0,2013.12.26
Dontmesswithme_2,966,United States of America,White,Win,e4,rumblebox858,1109,Australia,Black,Resigned,e6,Defense 2.d4 e6,Dontmesswithme_2 won by resignation,15.0,2013.12.26
Dontmesswithme_2,952,United States of America,Black,Resigned,d5,Kingandmate,1167,United States of America,White,Win,d4,Pawn Opening Chigorin Variation 2...Nf6 3.Nf3,Kingandmate won by resignation,10.0,2013.12.26
Dontmesswithme_2,916,United States of America,White,Resigned,e4,walid_jemel,787,Tunisia,Black,Win,d5,Defense Mieses Kotrc Variation 3.Nc3,walid_jemel won by resignation,28.0,2014.01.06
Dontmesswithme_2,938,United States of America,Black,Resigned,d5,DoubleARon1,1132,United States of America,White,Win,Nf3,Pawn Opening Zukertort Variation,DoubleARon1 won by resignation,39.0,2014.01.06
Dontmesswithme_2,920,United States of America,White,Resigned,e4,skipper70000,1041,Uzbekistan,Black,Win,e5,Game Knight Attack Polerio Bishop Check Line,skipper70000 won by resignation,16.0,2014.01.06
Dontmesswithme_2,934,United States of America,Black,Win,c5,bittrip333,741,United States of America,White,Resigned,e4,Defense Bowdler Attack,Dontmesswithme_2 won by resignation,48.0,2014.01.06
Dontmesswithme_2,982,United States of America,White,Timeout,e4,Redbulljay,1048,Turkey,Black,Win,e5,Game,Redbulljay won on time,30.0,2014.01.19
Dontmesswithme_2,883,United States of America,Black,Checkmated,c5,Focklogic,1117,Denmark,White,Win,e4,Defense Smith Morra Gambit Accepted,Focklogic won by checkmate,6.0,2014.01.19
Dontmesswithme_2,801,United States of America,White,Timeout,e4,shaunmccabe,1004,Luxembourg,Black,Win,e5,Lopez Opening Classical Defense,shaunmccabe won on time,30.0,2014.01.19
Dontmesswithme_2,926,United States of America,Black,Win,e6,Likestorm,939,United States of America,White,Timeout,e4,Defense Steinitz Attack,Dontmesswithme_2 won on time,23.0,2014.01.19
Dontmesswithme_2,850,United States of America,White,Timeout,e4,Likestorm,947,United States of America,Black,Win,e5,Defense 3.Bc4,Likestorm won on time,34.0,2014.01.19
Dontmesswithme_2,790,United States of America,Black,Timeout,e5,Castilian,920,San Marino,White,Win,e4,Pawn Opening Leonardis Variation,Castilian won on time,17.0,2014.02.19
Dontmesswithme_2,749,United States of America,White,Timeout,e4,Castilian,925,San Marino,Black,Win,e6,Defense Knight Variation,Castilian won on time,24.0,2014.02.19
Dontmesswithme_2,702,United States of America,Black,Timeout,e5,vanilian,868,Australia,White,Win,d4,Gambit 2.dxe5,vanilian won on time,20.0,2014.02.19
Dontmesswithme_2,659,United States of America,Black,Timeout,e5,Golumbovsky,777,United States of America,White,Win,f3,Opening 1...e5,Golumbovsky won on time,24.0,2014.05.10
Dontmesswithme_2,725,United States of America,Black,Win,e6,RafalGodula1982,771,Netherlands,White,Timeout,d4,Pawn Opening Horwitz Defense 2.Bf4,Dontmesswithme_2 won on time,25.0,2014.05.10
Dontmesswithme_2,688,United States of America,White,Resigned,e4,RafalGodula1982,797,Netherlands,Black,Win,d6,Defense Modern Defense Geller System,RafalGodula1982 won by resignation,11.0,2014.05.10
Dontmesswithme_2,954,United States of America,Black,Win,e5,thomascaron7,991,Canada,White,Abandoned,e4,Defense Three Knights Game,Dontmesswithme_2 won - game abandoned,11.0,2014.05.10
Dontmesswithme_2,931,United States of America,White,Abandoned,e4,merunner,1033,India,Black,Win,e5,Pawn Opening 1...e5,merunner won - game abandoned,1.0,2014.05.10
Dontmesswithme_2,886,United States of America,White,Abandoned,e4,DamienDarkwater,929,United Kingdom of Great Britain and Northern Ireland,Black,Win,c5,Defense 2.Nf3 d6 3.d4,DamienDarkwater won - game abandoned,10.0,2014.09.28
Dontmesswithme_2,907,United States of America,Black,Win,d5,Blake_Denson,714,United States of America,White,Resigned,d4,Pawn Opening Accelerated London System,Dontmesswithme_2 won by resignation,10.0,2014.09.30
Dontmesswithme_2,946,United States of America,White,Win,e4,ousmaned,983,United States of America,Black,Checkmated,e5,Game,Dontmesswithme_2 won by checkmate,11.0,2014.09.30
Dontmesswithme_2,921,United States of America,White,Abandoned,e4,BenRiggz,1007,United States of America,Black,Win,e5,Pawn Opening Kings Knight Variation,BenRiggz won - game abandoned,2.0,2014.10.01
Dontmesswithme_2,959,United States of America,Black,Win,d5,Computer1-EASY,1060,International,White,Checkmated,d4,Veresov Attack,Dontmesswithme_2 won by checkmate,50.0,2014.10.01
Dontmesswithme_2,955,United States of America,Black,Checkmated,e5,billchess2010,1412,United States of America,White,Win,e4,Gambit Accepted Schallopp Defense,billchess2010 won by checkmate,37.0,2014.10.06
Dontmesswithme_2,988,United States of America,Black,Win,d5,crotchrocket,1049,Canada,White,Checkmated,d4,Pawn Opening Chigorin Irish Gambit,Dontmesswithme_2 won by checkmate,24.0,2014.10.06
Dontmesswithme_2,1015,United States of America,Black,Win,e5,Rasheed65,1010,United States of America,White,Resigned,e4,Pawn Opening Kings Knight Variation 2...Nc6,Dontmesswithme_2 won by resignation,40.0,2014.10.11
Dontmesswithme_2,1040,United States of America,White,Win,e4,AlexMcCarthy,1030,United Kingdom of Great Britain and Northern Ireland,Black,Checkmated,e5,Defense 3.d4,Dontmesswithme_2 won by checkmate,19.0,2014.10.11
Dontmesswithme_2,1023,United States of America,White,Timeout,e4,Computer1-EASY,1121,International,Black,Win,d5,Defense Mieses Kotrc Variation 3.Nc3,Computer1-EASY won on time,43.0,2014.10.11
Dontmesswithme_2,679,United States of America,Black,Timeout,d5,Computer1-EASY,1143,International,White,Win,Nf3,Pawn Opening Zukertort Variation,Computer1-EASY won on time,44.0,2014.10.12
Dontmesswithme_2,672,United States of America,White,Timeout,e4,Computer1-EASY,1174,International,Black,Win,e5,Game Two Knights Open 4...Nxe4,Computer1-EASY won on time,34.0,2014.10.12
Dontmesswithme_2,765,United States of America,Black,Win,e5,Computer1-EASY,1168,International,White,Checkmated,e4,Pawn Opening Speers Variation,Dontmesswithme_2 won by checkmate,72.0,2014.10.12
Dontmesswithme_2,755,United States of America,White,Checkmated,e4,Computer1-EASY,1173,International,Black,Win,e5,Defense 3.Bc4,Computer1-EASY won by checkmate,17.0,2014.10.12
Dontmesswithme_2,717,United States of America,White,Abandoned,e4,tiwwit,797,Norway,Black,Win,b6,Pawn Opening Owen Defense,tiwwit won - game abandoned,9.0,2014.10.12
Dontmesswithme_2,710,United States of America,Black,Checkmated,d5,Computer1-EASY,1152,International,White,Win,d4,Pawn Opening 1...d5 2.e3,Computer1-EASY won by checkmate,40.0,2014.10.15
Dontmesswithme_2,703,United States of America,White,Resigned,e4,Computer1-EASY,1153,International,Black,Win,e5,Defense Jalalabad Variation,Computer1-EASY won by resignation,10.0,2014.10.15
Dontmesswithme_2,696,United States of America,Black,Timeout,e5,Computer1-EASY,1148,International,White,Win,Nc3,Geet Opening Reversed Nimzowitsch Variation 2.Nf3 Nc6,Computer1-EASY won on time,22.0,2014.10.15
Dontmesswithme_2,1202,United States of America,White,Win,e4,omri_un,1287,Montenegro,Black,Resigned,c5,Defense 2.Nf3 d6 3.d4 cxd4,Dontmesswithme_2 won by resignation,26.0,2014.10.25
Dontmesswithme_2,1181,United States of America,Black,Resigned,d5,Slug27,1259,India,White,Win,d4,Pawn Opening 1...d5 2.e3,Slug27 won by resignation,37.0,2014.10.25
Dontmesswithme_2,1165,United States of America,Black,Resigned,d5,L-W-H,1262,United States of America,White,Win,d4,Gambit Declined,L-W-H won by resignation,50.0,2014.10.26
Dontmesswithme_2,1186,United States of America,White,Win,e4,thomas146,1194,Scotland,Black,Checkmated,e5,Game,Dontmesswithme_2 won by checkmate,24.0,2014.10.26
Dontmesswithme_2,1202,United States of America,White,Win,e4,ThePlutonian,1134,Brazil,Black,Checkmated,e5,Defense 3.d4 Bg4 4.dxe5,Dontmesswithme_2 won by checkmate,31.0,2014.10.26
Dontmesswithme_2,1227,United States of America,White,Win,e4,HappyHal100,1362,United States of America,Black,Resigned,e5,Defense Exchange Morphy Gambit,Dontmesswithme_2 won by resignation,19.0,2014.10.27
Dontmesswithme_2,1249,United States of America,Black,Win,e6,SimoGemexx,1320,Italy,White,Resigned,e4,Defense Winawer Variation,Dontmesswithme_2 won by resignation,11.0,2014.11.08
Dontmesswithme_2,1275,United States of America,White,Win,e4,Sharkman47,1410,United States of America,Black,Resigned,e5,Defense Steinitz Attack,Dontmesswithme_2 won by resignation,18.0,2014.11.08
Dontmesswithme_2,1293,United States of America,Black,Win,e6,Romaniote,1294,Greece,White,Abandoned,e4,Defense Advance Nimzowitsch System,Dontmesswithme_2 won - game abandoned,30.0,2014.11.15
Dontmesswithme_2,1267,United States of America,Black,Resigned,a5,Nurci,1256,Turkey,White,Win,e3,Kruijs Opening,Nurci won by resignation,1.0,2014.11.16
Dontmesswithme_2,883,United States of America,White,Resigned,h4,Computer1-EASY,1127,International,Black,Win,f5,Opening 1...f5,Computer1-EASY won by resignation,1.0,2014.11.16
Dontmesswithme_2,843,United States of America,Black,Resigned,a6,mrr360,891,United States of America,White,Win,e4,Pawn Opening St George Defense,mrr360 won by resignation,1.0,2014.11.16
Dontmesswithme_2,879,United States of America,White,Win,e4,yabkaf,832,Senegal,Black,Checkmated,e5,Defense Jalalabad Variation,Dontmesswithme_2 won by checkmate,26.0,2014.11.16
Dontmesswithme_2,1157,United States of America,White,Timeout,e4,thefourthway,1144,Italy,Black,Win,Nf6,Defense,thefourthway won on time,1.0,2014.11.18
Dontmesswithme_2,1267,United States of America,Black,Checkmated,e6,samgagic,1378,United States of America,White,Win,e4,Defense La Bourdonnais Variation 2...d5,samgagic won by checkmate,20.0,2014.11.19
Dontmesswithme_2,1253,United States of America,Black,Resigned,e5,Abhishyangbo,1309,United States of America,White,Win,g3,Fianchetto Opening 1...e5 2.Bg2 d5,Abhishyangbo won by resignation,14.0,2014.11.19
Dontmesswithme_2,1239,United States of America,White,Checkmated,e4,ico_ns,1291,Bulgaria,Black,Win,e5,Defense Urusov Lichtenhein Defense,ico_ns won by checkmate,13.0,2014.11.19
Dontmesswithme_2,1255,United States of America,White,Win,e4,ttaller,1252,United States of America,Black,Checkmated,e5,Defense 3.d4,Dontmesswithme_2 won by checkmate,29.0,2014.11.19
Dontmesswithme_2,1247,United States of America,White,Resigned,e4,eddieswilliams,1427,United States of America,Black,Win,e6,Defense Small Center Defense,eddieswilliams won by resignation,16.0,2014.11.20
Dontmesswithme_2,1254,United States of America,White,Win,e4,2469horse,1061,United States of America,Black,Resigned,e5,Defense Classical Damiano Variation Kholmov Gambit,Dontmesswithme_2 won by resignation,33.0,2014.11.21
Dontmesswithme_2,1247,United States of America,Black,Checkmated,e6,MikeHackett,1440,United Kingdom of Great Britain and Northern Ireland,White,Win,e4,Defense Knight Variation 2...d5,MikeHackett won by checkmate,33.0,2014.11.21
Dontmesswithme_2,1238,United States of America,Black,Resigned,e6,Computer2-MEDIUM,1363,International,White,Win,f4,Opening,Computer2-MEDIUM won by resignation,13.0,2014.11.21
Dontmesswithme_2,1230,United States of America,White,Checkmated,e4,NinaGoldschmidt,1389,South Africa,Black,Win,e5,Game 3...exd4 4.Nxd4,NinaGoldschmidt won by checkmate,42.0,2014.11.21
Dontmesswithme_2,1222,United States of America,White,Checkmated,e4,Computer2-MEDIUM,1357,International,Black,Win,d5,Defense Mieses Kotrc Variation 3.Nc3,Computer2-MEDIUM won by checkmate,20.0,2014.11.22
Dontmesswithme_2,1212,United States of America,Black,Checkmated,d5,Robert_Carter,1283,United States of America,White,Win,d4,Pawn Opening 1...d5 2.e3,Robert_Carter won by checkmate,15.0,2014.11.22
Dontmesswithme_2,1229,United States of America,Black,Win,d5,Computer2-MEDIUM,1367,International,White,Checkmated,g3,Fianchetto Opening 1...d5,Dontmesswithme_2 won by checkmate,60.0,2014.11.27
Dontmesswithme_2,1246,United States of America,White,Win,e4,Computer2-MEDIUM,1380,International,Black,Checkmated,c5,Defense Open Dragon Variation 6.Be3,Dontmesswithme_2 won by checkmate,61.0,2014.11.27
Dontmesswithme_2,1239,United States of America,Black,Resigned,d5,Computer2-MEDIUM,1395,International,White,Win,g3,Fianchetto Opening Reversed Modern Defense,Computer2-MEDIUM won by resignation,28.0,2014.11.27
Dontmesswithme_2,1239,United States of America,White,Resigned,e4,Computer4-IMPOSSIBLE,2132,International,Black,Win,e5,Game Two Knights Scotch Gambit,Computer4-IMPOSSIBLE won by resignation,19.0,2014.11.27
Dontmesswithme_2,1232,United States of America,White,Checkmated,e4,Computer2-MEDIUM,1390,International,Black,Win,e5,Game,Computer2-MEDIUM won by checkmate,37.0,2014.11.27
Dontmesswithme_2,1218,United States of America,Black,Resigned,Nf6,arnaldomd,1125,United States of America,White,Win,d4,Game,arnaldomd won by resignation,12.0,2014.11.27
Dontmesswithme_2,879,United States of America,White,Win,e4,cyed,1325,International,Black,Resigned,e5,Defense Exchange Variation 4.Nxd4 Nf6 5.Nc3 Be7,Dontmesswithme_2 won by resignation,16.0,2014.11.27
Dontmesswithme_2,1232,United States of America,Black,Win,e5,Computer1-EASY,1334,International,White,Checkmated,e4,Pawn Opening Alapin Opening,Dontmesswithme_2 won by checkmate,21.0,2014.11.27
Dontmesswithme_2,1248,United States of America,Black,Win,d5,Computer2-MEDIUM,1419,International,White,Checkmated,d4,Pawn Opening 1...d5,Dontmesswithme_2 won by checkmate,37.0,2014.11.27
Dontmesswithme_2,1243,United States of America,White,Resigned,e4,Computer2-MEDIUM,1435,International,Black,Win,e5,Game 3...exd4 4.Nxd4 Nxd4 5.Qxd4,Computer2-MEDIUM won by resignation,33.0,2014.11.27
Dontmesswithme_2,1235,United States of America,White,Checkmated,e4,Computer1-EASY,1327,International,Black,Win,Na6,Pawn Opening Lemming Defense,Computer1-EASY won by checkmate,36.0,2014.11.27
Dontmesswithme_2,1250,United States of America,Black,Win,e5,Computer2-MEDIUM,1453,International,White,Checkmated,e4,Pawn Opening Wayward Queen Kiddie Countergambit,Dontmesswithme_2 won by checkmate,25.0,2014.11.27
Dontmesswithme_2,1246,United States of America,White,Resigned,e4,Computer2-MEDIUM,1468,International,Black,Win,d5,Defense Mieses Kotrc Variation 3.Nc3,Computer2-MEDIUM won by resignation,26.0,2014.11.27
Dontmesswithme_2,1242,United States of America,Black,Resigned,e5,Computer2-MEDIUM,1471,International,White,Win,e4,Pawn Opening Leonardis Variation,Computer2-MEDIUM won by resignation,11.0,2014.11.27
Dontmesswithme_2,1247,United States of America,White,Stalemate,e4,Computer2-MEDIUM,1463,International,Black,Stalemate,e6,Defense Normal Variation,Game drawn by stalemate,29.0,2014.11.27
Dontmesswithme_2,1247,United States of America,Black,Resigned,d5,Computer4-IMPOSSIBLE,2162,International,White,Win,g3,Indian Attack Sicilian Variation 3.Bg2,Computer4-IMPOSSIBLE won by resignation,17.0,2014.11.27
Dontmesswithme_2,1243,United States of America,Black,Resigned,e5,Computer2-MEDIUM,1478,International,White,Win,c3,Opening 1...e5,Computer2-MEDIUM won by resignation,34.0,2014.11.27
Dontmesswithme_2,1257,United States of America,White,Win,e4,Computer2-MEDIUM,1468,International,Black,Checkmated,e5,Defense Philidor Countergambit 4.dxe5 fxe4,Dontmesswithme_2 won by checkmate,59.0,2014.11.27
Dontmesswithme_2,874,United States of America,White,Resigned,e4,scorch1994,1366,United States of America,Black,Win,e5,Game Scotch Gambit London Defense 5.c3 dxc3 6.bxc3 Ba5,scorch1994 won by resignation,19.0,2014.11.27
Dontmesswithme_2,1270,United States of America,Black,Win,c5,Computer2-MEDIUM,1441,International,White,Checkmated,e4,Defense Delayed Alapin Variation 3...Nf6,Dontmesswithme_2 won by checkmate,61.0,2014.11.27
Dontmesswithme_2,1277,United States of America,White,Win,e4,KingShah360,1059,United States of America,Black,Abandoned,e5,Defense Classical Damiano Variation Kholmov Gambit,Dontmesswithme_2 won - game abandoned,24.0,2014.11.27
Dontmesswithme_2,1272,United States of America,Black,Resigned,c5,falexv,1449,United States of America,White,Win,e4,Defense Bowdler Attack,falexv won by resignation,19.0,2014.11.27
Dontmesswithme_2,1266,United States of America,White,Resigned,e4,Seth2263,1367,United States of America,Black,Win,d6,Defense 2.d4 Nf6 3.Nc3,Seth2263 won by resignation,27.0,2014.11.27
Dontmesswithme_2,1260,United States of America,White,Timeout,e4,Computer2-MEDIUM,1367,International,Black,Win,e5,Game,Computer2-MEDIUM won on time,22.0,2014.11.27
Dontmesswithme_2,1271,United States of America,Black,Win,c5,Computer2-MEDIUM,1369,International,White,Checkmated,e4,Defense Bowdler Attack,Dontmesswithme_2 won by checkmate,53.0,2014.11.30
Dontmesswithme_2,1281,United States of America,White,Win,e4,anonymus92,1328,India,Black,Checkmated,e5,Game Scotch Gambit Dubois Reti Advance Kingside Variation,Dontmesswithme_2 won by checkmate,13.0,2014.11.30
Dontmesswithme_2,693,United States of America,White,Timeout,e4,Computer2-MEDIUM,1321,International,Black,Win,Nf6,Game Falkbeer Variation,Computer2-MEDIUM won on time,30.0,2014.11.30
Dontmesswithme_2,690,United States of America,Black,Checkmated,c5,Computer2-MEDIUM,1293,International,White,Win,e4,Defense 2.Nf3 d6,Computer2-MEDIUM won by checkmate,27.0,2014.11.30
Dontmesswithme_2,1274,United States of America,White,Resigned,e4,Computer4-IMPOSSIBLE,2167,International,Black,Win,c6,Kann Defense 2.Nc3 d5,Computer4-IMPOSSIBLE won by resignation,7.0,2014.11.30
Dontmesswithme_2,1265,United States of America,Black,Resigned,d5,TimDulger,1218,Canada,White,Win,d4,Gambit Declined Queens Knight Variation 3...Nc6,TimDulger won by resignation,42.0,2014.11.30
Dontmesswithme_2,1257,United States of America,Black,Resigned,c5,davensan,1258,Portugal,White,Win,e4,Defense 2.Nf3 d6 3.d4 cxd4,davensan won by resignation,17.0,2014.11.30
Dontmesswithme_2,1265,United States of America,Black,Win,c5,AdrianTiradoSanchez,1270,Spain,White,Resigned,c4,Benoni Defense 2.c4,Dontmesswithme_2 won by resignation,25.0,2014.11.30
Dontmesswithme_2,1259,United States of America,White,Checkmated,e4,Computer2-MEDIUM,1368,International,Black,Win,e5,Game,Computer2-MEDIUM won by checkmate,25.0,2014.11.30
Dontmesswithme_2,1265,United States of America,White,Win,e4,farhadi_dariush,1169,"Iran, Islamic Republic of",Black,Resigned,e5,Pawn Opening Kings Knight Damiano Defense Damiano Gambit...4.Qh5 g6 5.Qxe5 Qe7 6.Qxh8,Dontmesswithme_2 won by resignation,21.0,2014.11.30
Dontmesswithme_2,1269,United States of America,Black,Win,c5,charlygardel,1090,Argentina,White,Checkmated,e4,Defense Lasker Dunne Attack,Dontmesswithme_2 won by checkmate,46.0,2014.11.30
Dontmesswithme_2,1263,United States of America,White,Resigned,e4,frasisse,1382,Argentina,Black,Win,e5,Defense 3.d4,frasisse won by resignation,19.0,2014.11.30
Dontmesswithme_2,1258,United States of America,Black,Abandoned,-,frasisse,1387,Argentina,White,Win,d4,Pawn Opening,frasisse won - game abandoned,1.0,2014.11.30
Dontmesswithme_2,865,United States of America,White,Resigned,e4,gtpraveenkumar,1240,India,Black,Win,b6,Pawn Opening Owen Defense,gtpraveenkumar won by resignation,38.0,2014.12.07
Dontmesswithme_2,1257,United States of America,Black,Draw agreed,e5,Computer1-EASY,1194,International,White,Draw agreed,c3,Opening 1...e5,Game drawn by agreement,64.0,2014.12.07
